Feature,Importance
diff_B_7_6,734
lag_R_11_3,735
diff_S_11_3,737
diff_R_2_2,737
diff_R_6_5,738
diff_R_11_10,740
diff_B_28_5,740
diff_D_58_8,740
diff_B_40_5,742
rolling_mean_R_10_6,743
diff_R_12_1,744
diff_R_4_4,745
rolling_mean_S_13_6,746
rolling_std_R_6_6,747
expanding_min_B_23,748
diff_R_12_10,749
diff_B_12_7,750
diff_D_65_7,751
diff_R_4_2,752
diff_D_65_4,753
lag_D_102_2,754
lag_R_5_3,755
expanding_min_B_7,756
diff_R_6_4,758
rolling_std_R_1_6,758
diff_D_39_7,759
diff_B_14_4,760
diff_S_15_7,761
diff_R_5_6,762
diff_B_24_9,763
lag_R_2_3,764
diff_B_23_3,766
lag_D_65_3,766
diff_P_4_4,767
diff_B_14_9,768
rolling_mean_R_6_6,769
cummean_R_4,770
diff_B_7_4,771
diff_D_58_10,773
lag_R_6_3,773
lag_B_24_3,774
diff_R_4_3,775
diff_B_11_4,776
lag_B_11_2,777
rolling_mean_D_144_6,778
diff_D_102_8,779
diff_B_23_5,780
lag_R_1_1,781
diff_R_5_9,782
cumsum_D_75,783
diff_B_23_4,784
lag_D_71_3,785
diff_D_63_CR_10,786
rolling_std_D_126_1.0_6,787
lag_B_7_1,788
diff_D_63_CL_10,789
ewm_D_63_CL_6,790
diff_D_63_CL_6,793
lag_D_63_CR_3,793
cumsum_D_63_CR,793
diff_D_126_1.0_3,793
cummean_D_63_CL,793
cumsum_D_63_CL,798
diff_D_63_CO_7,798
diff_D_126_1.0_6,798
diff_D_63_CR_4,798
rolling_std_D_63_CL_6,805
diff_D_63_CL_7,805
D_63_CL,805
lag_D_63_CR_1,805
diff_D_126_1.0_9,805
diff_D_126_1.0_5,805
diff_D_63_CR_1,805
rolling_std_D_63_CO_6,805
lag_D_63_CO_3,805
diff_D_63_CR_9,805
lag_D_126_1.0_3,805
reverse_ewm_S_5_6,851
B_7,851
reverse_ewm_R_1_6,851
reverse_ewm_R_11_6,851
reverse_ewm_D_63_CR_6,851
lag_D_63_CL_1,851
diff_D_63_CR_6,851
reverse_ewm_D_71_6,851
reverse_ewm_B_23_6,851
diff_D_63_CR_5,851
lag_D_63_CL_2,851
diff_D_63_CR_3,851
diff_D_63_CR_2,851
expanding_max_D_63_CR,851
diff_D_63_CR_8,851
reverse_ewm_B_1_6,851
reverse_ewm_S_8_6,851
expanding_min_D_63_CR,851
S_15,851
reverse_ewm_D_126_1.0_6,851
diff_D_126_1.0_4,851
diff_D_126_1.0_2,851
diff_D_126_1.0_1,851
expanding_max_D_126_1.0,851
reverse_ewm_P_4_6,851
reverse_ewm_D_39_6,851
expanding_min_D_126_1.0,851
D_133,851
lag_D_126_1.0_2,851
B_4,851
B_5,851
lag_D_126_1.0_1,851
reverse_ewm_B_40_6,851
reverse_ewm_D_58_6,851
reverse_ewm_R_4_6,851
reverse_ewm_R_10_6,851
reverse_ewm_B_10_6,851
reverse_ewm_S_13_6,851
reverse_ewm_D_60_6,851
expanding_min_D_63_CO,851
reverse_ewm_D_47_6,851
reverse_ewm_B_12_6,851
reverse_ewm_R_12_6,851
reverse_ewm_D_144_6,851
reverse_ewm_B_28_6,851
reverse_ewm_B_18_6,851
reverse_ewm_B_24_6,851
expanding_max_D_63_CO,851
reverse_ewm_D_51_6,851
reverse_ewm_D_75_6,851
reverse_ewm_D_65_6,851
reverse_ewm_B_11_6,851
reverse_ewm_R_16_6,851
reverse_ewm_R_3_6,851
reverse_ewm_S_11_6,851
reverse_ewm_R_5_6,851
reverse_ewm_S_26_6,851
reverse_ewm_B_14_6,851
lag_D_63_CL_3,851
reverse_ewm_D_102_6,851
diff_D_63_CO_1,851
lag_D_63_CR_2,851
expanding_min_D_63_CL,851
expanding_max_D_63_CL,851
reverse_ewm_D_63_CO_6,851
diff_D_63_CL_2,851
diff_D_63_CL_3,851
diff_D_63_CO_6,851
diff_D_63_CL_4,851
reverse_ewm_R_6_6,851
diff_D_63_CL_5,851
reverse_ewm_R_2_6,851
diff_D_63_CO_4,851
rolling_mean_D_63_CL_6,851
diff_D_63_CO_3,851
reverse_ewm_B_37_6,851
diff_D_63_CO_2,851
reverse_ewm_B_9_6,851
reverse_ewm_D_63_CL_6,851
diff_D_63_CO_5,851
diff_D_126_1.0_8,851
